Date,y,b0,b1,b2
1975Q1,10.56015145,24,11.37371453,10.84707648
1975Q2,9.114149652,63,10.56015145,11.37371453
1975Q3,8.326739255,57,9.114149652,10.56015145
1975Q4,7.124774258,16,8.326739255,9.114149652
1976Q1,6.148875292,14,7.124774258,8.326739255
1976Q2,5.840956202,24,6.148875292,7.124774258
1976Q3,5.439187383,14,5.840956202,6.148875292
1976Q4,5.057649332,34,5.439187383,5.840956202
1977Q1,5.733822221,85,5.057649332,5.439187383
1977Q2,6.576036594,36,5.733822221,5.057649332
1977Q3,6.366901294,71,6.576036594,5.733822221
1977Q4,6.385291437,41,6.366901294,6.576036594
1978Q1,6.275180952,89,6.385291437,6.366901294
1978Q2,6.79038585,43,6.275180952,6.385291437
1978Q3,7.716967791,2,6.79038585,6.275180952
1978Q4,8.552999835,32,7.716967791,6.79038585
1979Q1,9.331340722,62,8.552999835,7.716967791
1979Q2,10.21320682,74,9.331340722,8.552999835
1979Q3,11.08425501,4,10.21320682,9.331340722
1979Q4,11.90142571,54,11.08425501,10.21320682
1980Q1,13.2844092,48,11.90142571,11.08425501
1980Q2,13.47660198,94,13.2844092,11.90142571
1980Q3,12.16548199,18,13.47660198,13.2844092
1980Q4,11.81327043,29,12.16548199,13.47660198
1981Q1,10.67468233,42,11.81327043,12.16548199
1981Q2,9.417127833,90,10.67468233,11.81327043
1981Q3,10.30302151,30,9.417127833,10.67468233
1981Q4,9.154189574,93,10.30302151,9.417127833
1982Q1,7.309869018,9,9.154189574,10.30302151
1982Q2,6.677129925,64,7.309869018,9.154189574
1982Q3,5.656073632,51,6.677129925,7.309869018
1982Q4,4.348071882,100,5.656073632,6.677129925
1983Q1,3.531077375,94,4.348071882,5.656073632
1983Q2,3.249796024,80,3.531077375,4.348071882
1983Q3,2.49481936,60,3.249796024,3.531077375
1983Q4,3.182172284,20,2.49481936,3.249796024
1984Q1,4.521563532,96,3.182172284,2.49481936
1984Q2,4.310779045,35,4.521563532,3.182172284
1984Q3,4.206023068,74,4.310779045,4.521563532
1984Q4,4.070502571,59,4.206023068,4.310779045
1985Q1,3.575993467,88,4.070502571,4.206023068
1985Q2,3.54349422,60,3.575993467,4.070502571
1985Q3,3.297680404,10,3.54349422,3.575993467
1985Q4,3.452865151,16,3.297680404,3.54349422
1986Q1,3.058567226,30,3.452865151,3.297680404
1986Q2,1.664487856,28,3.058567226,3.452865151
1986Q3,1.654370283,2,1.664487856,3.058567226
1986Q4,1.337040014,37,1.654370283,1.664487856
1987Q1,2.017891992,77,1.337040014,1.654370283
1987Q2,3.632317011,34,2.017891992,1.337040014
1987Q3,4.078227569,45,3.632317011,2.017891992
1987Q4,4.311287793,78,4.078227569,3.632317011
1988Q1,3.889080908,46,4.311287793,4.078227569
1988Q2,3.902825284,40,3.889080908,4.311287793
1988Q3,4.058790281,57,3.902825284,3.889080908
1988Q4,4.216079148,26,4.058790281,3.902825284
1989Q1,4.568126046,96,4.216079148,4.058790281
1989Q2,5.031305654,81,4.568126046,4.216079148
1989Q3,4.599035423,62,5.031305654,4.568126046
1989Q4,4.52339285,58,4.599035423,5.031305654
1990Q1,5.100511681,73,4.52339285,4.599035423
1990Q2,4.481504222,30,5.100511681,4.52339285
1990Q3,5.413300111,31,4.481504222,5.100511681
1990Q4,6.087508117,24,5.413300111,4.481504222
1991Q1,5.126034668,31,6.087508117,5.413300111
1991Q2,4.733012491,54,5.126034668,6.087508117
1991Q3,3.78131252,65,4.733012491,5.126034668
1991Q4,2.922104769,3,3.78131252,4.733012491
1992Q1,2.852531466,7,2.922104769,3.78131252
1992Q2,3.027390391,64,2.852531466,2.922104769
1992Q3,3.028484156,77,3.027390391,2.852531466
1992Q4,3.07452339,1,3.028484156,3.027390391
1993Q1,3.123954898,10,3.07452339,3.028484156
1993Q2,3.077263933,66,3.123954898,3.07452339
1993Q3,2.778331286,83,3.077263933,3.123954898
1993Q4,2.73161262,97,2.778331286,3.077263933
1994Q1,2.507751649,93,2.73161262,2.778331286
1994Q2,2.354587196,54,2.507751649,2.73161262
1994Q3,2.81495371,59,2.354587196,2.507751649
1994Q4,2.570033897,17,2.81495371,2.354587196
1995Q1,2.800743098,40,2.570033897,2.81495371
1995Q2,3.04846519,14,2.800743098,2.570033897
1995Q3,2.629339774,37,3.04846519,2.800743098
1995Q4,2.5925392,81,2.629339774,3.04846519
1996Q1,2.74582308,89,2.5925392,2.629339774
1996Q2,2.787869917,1,2.74582308,2.5925392
1996Q3,2.858788162,87,2.787869917,2.74582308
1996Q4,3.18007866,2,2.858788162,2.787869917
1997Q1,2.902608293,19,3.18007866,2.858788162
1997Q2,2.275782311,72,2.902608293,3.18007866
1997Q3,2.200623431,30,2.275782311,2.902608293
1997Q4,1.873343189,21,2.200623431,2.275782311
1998Q1,1.47173836,56,1.873343189,2.200623431
1998Q2,1.570850602,60,1.47173836,1.873343189
1998Q3,1.583757768,43,1.570850602,1.47173836
1998Q4,1.514201753,45,1.583757768,1.570850602
1999Q1,1.673162872,66,1.514201753,1.583757768
1999Q2,2.090499385,3,1.673162872,1.514201753
1999Q3,2.31901347,70,2.090499385,1.673162872
1999Q4,2.586025264,31,2.31901347,2.090499385
2000Q1,3.205013028,77,2.586025264,2.31901347
2000Q2,3.240229064,46,3.205013028,2.586025264
2000Q3,3.410158438,13,3.240229064,3.205013028
2000Q4,3.385546827,66,3.410158438,3.240229064
2001Q1,3.353680302,26,3.385546827,3.410158438
2001Q2,3.270881533,83,3.353680302,3.385546827
2001Q3,2.643118584,45,3.270881533,3.353680302
2001Q4,1.857646005,60,2.643118584,3.270881533
2002Q1,1.224139831,81,1.857646005,2.643118584
2002Q2,1.309121753,2,1.224139831,1.857646005
2002Q3,1.563991552,11,1.309121753,1.224139831
2002Q4,2.22842399,36,1.563991552,1.309121753
2003Q1,2.93268971,35,2.22842399,1.563991552
